Rank,Club,Country,Level,Elo,From,To
1,Arsenal,ENG,1,1997.86279297,2025-08-18,2025-08-23
2,Liverpool,ENG,1,1997.49987793,2025-08-18,2025-08-25
3,Paris SG,FRA,1,1971.86877441,2025-08-18,2025-08-22
4,Man City,ENG,1,1967.74157715,2025-08-17,2025-08-23
5,Barcelona,ESP,1,1950.50598145,2025-08-17,2025-08-23
6,Real Madrid,ESP,1,1938.07580566,2025-08-20,2025-08-24
7,Inter,ITA,1,1933.24255371,2025-06-01,2025-08-25
8,Bayern,GER,1,1918.9979248,2025-05-18,2025-08-22
9,Chelsea,ENG,1,1899.57080078,2025-08-18,2025-08-22
10,Aston Villa,ENG,1,1871.26916504,2025-08-17,2025-08-23
11,Newcastle,ENG,1,1870.12243652,2025-08-17,2025-08-25
12,Leverkusen,GER,1,1848.78649902,2025-08-18,2025-08-23
13,Atletico,ESP,1,1843.46801758,2025-08-18,2025-08-23
14,Atalanta,ITA,1,1842.22387695,2025-06-01,2025-08-24
15,Napoli,ITA,1,1838.37182617,2025-06-01,2025-08-23
16,Crystal Palace,ENG,1,1838.27050781,2025-08-22,2025-08-24
17,Brighton,ENG,1,1824.43078613,2025-08-17,2025-08-24
18,Roma,ITA,1,1819.66003418,2025-06-01,2025-08-23
19,Benfica,POR,1,1819.04077148,2025-08-21,2025-08-23
20,Dortmund,GER,1,1818.35021973,2025-08-21,2025-08-23
21,Forest,ENG,1,1812.68762207,2025-08-18,2025-08-24
22,Sporting,POR,1,1807.16772461,2025-08-21,2025-08-23
23,Juventus,ITA,1,1805.84667969,2025-08-18,2025-08-24
24,PSV,NED,1,1805.02954102,2025-08-18,2025-08-23
25,Bournemouth,ENG,1,1804.01293945,2025-08-18,2025-08-23
26,Brentford,ENG,1,1801.45458984,2025-08-18,2025-08-23
27,Man United,ENG,1,1794.94018555,2025-08-18,2025-08-24
28,Bilbao,ESP,1,1792.48693848,2025-08-19,2025-08-25
29,Villarreal,ESP,1,1788.9831543,2025-08-19,2025-08-24
30,Milan,ITA,1,1786.90795898,2025-08-19,2025-08-23
31,Everton,ENG,1,1785.1328125,2025-08-19,2025-08-24
32,Fulham,ENG,1,1784.41845703,2025-08-17,2025-08-24
33,Tottenham,ENG,1,1783.9317627,2025-08-17,2025-08-23
34,Lille,FRA,1,1775.97485352,2025-08-18,2025-08-24
35,Lazio,ITA,1,1770.40869141,2025-06-01,2025-08-24
36,Monaco,FRA,1,1760.81958008,2025-08-17,2025-08-24
37,Fiorentina,ITA,1,1756.97192383,2025-08-22,2025-08-24
38,Brugge,BEL,1,1753.31835938,2025-08-20,2025-08-23
39,Bologna,ITA,1,1750.82434082,2025-08-20,2025-08-23
40,Lyon,FRA,1,1748.12329102,2025-08-20,2025-08-23
41,Frankfurt,GER,1,1745.75805664,2025-08-20,2025-08-23
42,Marseille,FRA,1,1742.92272949,2025-08-16,2025-08-23
43,Betis,ESP,1,1739.73571777,2025-08-19,2025-08-22
44,St Gillis,BEL,1,1736.54504395,2025-08-20,2025-08-24
45,Leeds,ENG,1,1731.20678711,2025-08-19,2025-08-23
46,West Ham,ENG,1,1729.2644043,2025-08-19,2025-08-22
47,Wolves,ENG,1,1727.96472168,2025-08-19,2025-08-23
48,Feyenoord,NED,1,1722.57385254,2025-08-21,2025-08-31
49,Galatasaray,TUR,1,1722.15209961,2025-08-21,2025-08-24
50,Burnley,ENG,1,1719.67236328,2025-08-17,2025-08-23
51,Stuttgart,GER,1,1719.31481934,2025-08-13,2025-08-23
52,RB Leipzig,GER,1,1716.37463379,2025-08-13,2025-08-22
53,Strasbourg,FRA,1,1708.29321289,2025-08-22,2025-08-24
54,Mainz,GER,1,1706.18286133,2025-08-22,2025-08-24
55,Porto,POR,1,1702.82666016,2025-08-21,2025-08-24
56,Fenerbahce,TUR,1,1700.58605957,2025-08-21,2025-08-23
57,Osasuna,ESP,1,1695.27612305,2025-08-20,2025-08-24
58,Nice,FRA,1,1691.42651367,2025-08-17,2025-08-23
59,Slavia Praha,CZE,1,1688.58312988,2025-08-18,2025-08-23
60,Freiburg,GER,1,1684.34057617,2025-08-18,2025-08-23
61,Lens,FRA,1,1680.18408203,2025-08-21,2025-08-24
62,Braga,POR,1,1679.10302734,2025-08-22,2025-08-24
63,Celtic,SCO,1,1678.7623291,2025-08-21,2025-08-23
64,Werder,GER,1,1677.45446777,2025-08-17,2025-08-23
65,Valencia,ESP,1,1677.03747559,2025-08-17,2025-08-24
66,Brest,FRA,1,1675.63635254,2025-08-18,2025-08-24
67,Torino,ITA,1,1675.24279785,2025-08-18,2025-08-25
68,Celta,ESP,1,1672.92578125,2025-08-18,2025-08-23
69,Olympiakos,GRE,1,1672.03125,2025-08-15,2025-08-23
70,Rayo Vallecano,ESP,1,1671.80883789,2025-08-22,2025-08-25
71,Sociedad,ESP,1,1669.69921875,2025-08-17,2025-08-24
72,Rennes,FRA,1,1667.5480957,2025-08-17,2025-08-24
73,Genoa,ITA,1,1664.06433105,2025-08-18,2025-08-23
74,Ajax,NED,1,1662.3494873,2025-08-18,2025-08-24
75,Toulouse,FRA,1,1660.16369629,2025-08-17,2025-08-24
76,Zenit,RUS,1,1657.46350098,2025-08-17,2025-08-31
77,FC Kobenhavn,DEN,1,1655.86499023,2025-08-21,2025-08-23
78,Alaves,ESP,1,1649.66662598,2025-08-17,2025-08-22
79,Como,ITA,1,1648.34375,2025-08-17,2025-08-24
80,Espanyol,ESP,1,1646.54370117,2025-08-18,2025-08-24
81,Wolfsburg,GER,1,1645.72436523,2025-08-18,2025-08-23
82,Bodoe Glimt,NOR,1,1643.48254395,2025-08-21,2025-08-26
83,Getafe,ESP,1,1642.10522461,2025-08-21,2025-08-25
84,Mallorca,ESP,1,1636.17333984,2025-08-21,2025-08-23
85,Sevilla,ESP,1,1633.94470215,2025-08-21,2025-08-25
86,Gladbach,GER,1,1632.47973633,2025-08-21,2025-08-24
87,Auxerre,FRA,1,1630.02770996,2025-08-21,2025-08-23
88,Alkmaar,NED,1,1626.9473877,2025-08-22,2025-08-24
89,Girona,ESP,1,1623.70227051,2025-08-16,2025-08-24
90,Udinese,ITA,1,1620.2565918,2025-08-17,2025-08-25
91,Genk,BEL,1,1619.86547852,2025-08-22,2025-08-23
92,FC Krasnodar,RUS,1,1619.69165039,2025-08-20,2025-08-31
93,Augsburg,GER,1,1618.65991211,2025-08-20,2025-08-23
94,Union Berlin,GER,1,1617.1652832,2025-08-17,2025-08-23
95,Leicester,ENG,2,1611.67932129,2025-08-20,2025-08-31
96,Midtjylland,DEN,1,1609.22558594,2025-08-22,2025-08-24
97,Hoffenheim,GER,1,1605.84069824,2025-08-21,2025-08-23
98,Rangers,SCO,1,1605.44812012,2025-08-21,2025-08-24
99,Levante,ESP,1,1604.72802734,2025-08-20,2025-08-23
100,Parma,ITA,1,1602.97509766,2025-08-20,2025-08-24
None,Cagliari,ITA,1,1602.27929688,2025-08-15,2025-08-24
None,Leganes,ESP,2,1598.27416992,2025-08-18,2025-08-31
None,Sassuolo,ITA,1,1596.90930176,2025-07-06,2025-08-23
None,Verona,ITA,1,1595.0670166,2025-06-01,2025-08-25
None,Utrecht,NED,1,1594.00854492,2025-08-22,2025-08-24
None,Sheffield United,ENG,2,1592.37182617,2025-08-17,2025-08-31
None,Crvena Zvezda,SRB,1,1590.57751465,2025-08-20,2025-08-26
None,Sparta Praha,CZE,1,1590.41906738,2025-08-22,2025-08-24
None,Anderlecht,BEL,1,1589.72717285,2025-08-22,2025-08-24
None,Elche,ESP,1,1587.31726074,2025-08-19,2025-08-23
None,Viktoria Plzen,CZE,1,1585.65380859,2025-08-20,2025-08-23
None,Ipswich,ENG,2,1585.60559082,2025-08-18,2025-08-31
None,Lorient,FRA,1,1585.12182617,2025-08-18,2025-08-24
None,Reims,FRA,2,1585.05712891,2025-08-17,2025-08-31
None,Guimaraes,POR,1,1584.71899414,2025-08-21,2025-08-23
None,Oviedo,ESP,1,1584.23510742,2025-08-16,2025-08-24
None,Lecce,ITA,1,1583.05090332,2025-06-01,2025-08-23
None,CSKA Moskva,RUS,1,1581.68457031,2025-07-22,2025-08-31
None,Nantes,FRA,1,1580.47875977,2025-08-18,2025-08-24
None,Empoli,ITA,2,1577.66174316,2025-07-06,2025-08-23
None,Spartak Moskva,RUS,1,1577.27172852,2025-07-20,2025-08-31
None,St Pauli,GER,1,1577.10742188,2025-05-18,2025-08-23
None,Brondby,DEN,1,1573.25354004,2025-08-22,2025-08-24
None,Sunderland,ENG,1,1567.96691895,2025-08-17,2025-08-23
None,Metz,FRA,1,1564.94714355,2025-08-18,2025-08-23
None,Twente,NED,1,1561.73999023,2025-08-18,2025-08-24
None,Southampton,ENG,2,1561.19921875,2025-08-18,2025-08-31
None,Heidenheim,GER,1,1558.72509766,2025-05-18,2025-08-23
None,Las Palmas,ESP,2,1558.1159668,2025-08-18,2025-08-25
None,Venezia,ITA,2,1557.56445312,2025-07-06,2025-08-24
None,Salzburg,AUT,1,1557.04785156,2025-08-21,2025-08-23
None,Hamburg,GER,1,1554.54553223,2025-07-06,2025-08-24
None,PAOK,GRE,1,1553.92871094,2025-08-22,2025-08-24
None,Middlesbrough,ENG,2,1553.74804688,2025-08-17,2025-08-31
None,Coventry,ENG,2,1553.60058594,2025-08-17,2025-08-31
None,Dynamo Moskva,RUS,1,1553.48913574,2025-07-19,2025-08-31
None,Mirandes,ESP,2,1553.3581543,2025-08-18,2025-08-23
None,Koeln,GER,1,1552.19458008,2025-07-06,2025-08-24
None,Antwerp,BEL,1,1551.76318359,2025-08-20,2025-08-24
None,Shakhtar,UKR,1,1551.15380859,2025-08-22,2025-08-31
None,West Brom,ENG,2,1550.25158691,2025-08-17,2025-08-31
None,Le Havre,FRA,1,1545.30554199,2025-08-17,2025-08-24
None,Rakow,POL,1,1542.75366211,2025-08-22,2025-08-31
None,Cremonese,ITA,1,1541.8671875,2025-07-06,2025-08-23
None,Almeria,ESP,2,1540.53662109,2025-08-19,2025-08-24
None,Angers,FRA,1,1540.2298584,2025-08-18,2025-08-22
None,AEK,GRE,1,1539.82995605,2025-08-22,2025-08-24
None,Bristol City,ENG,2,1539.71166992,2025-08-17,2025-08-31
None,Famalicao,POR,1,1539.62963867,2025-08-21,2025-08-24
None,Saint-Etienne,FRA,2,1535.41369629,2025-08-17,2025-08-31
None,Lok Moskva,RUS,1,1534.22094727,2025-07-20,2025-08-31
None,Bochum,GER,2,1532.87695312,2025-08-11,2025-08-23
None,Sturm Graz,AUT,1,1532.83398438,2025-08-21,2025-08-23
None,Paris FC,FRA,1,1531.61157227,2025-08-18,2025-08-23
None,Pisa,ITA,1,1531.47106934,2025-07-06,2025-08-24
None,Dinamo Zagreb,CRO,1,1530.23193359,2025-08-17,2025-08-23
None,Santander,ESP,2,1529.05249023,2025-08-17,2025-08-25
None,Paphos,CYP,0,1529.00976562,2025-08-20,2025-08-26
None,Panathinaikos,GRE,1,1528.0032959,2025-08-22,2025-08-24
None,Cadiz,ESP,2,1527.75976562,2025-08-18,2025-08-31
None,Karabakh Agdam,AZE,0,1527.55444336,2025-08-20,2025-08-27
None,Eibar,ESP,2,1524.98156738,2025-08-17,2025-08-22
None,Viking,NOR,1,1524.18115234,2025-08-21,2025-08-31
None,Nijmegen,NED,1,1523.30700684,2025-08-17,2025-08-24
None,Spezia,ITA,2,1523.25891113,2025-06-02,2025-08-24
None,M Tel Aviv,ISR,1,1518.93505859,2025-08-22,2025-08-23
None,Mjaellby,SWE,1,1518.03039551,2025-08-18,2025-08-25
None,Millwall,ENG,2,1518.00231934,2025-08-17,2025-08-31
None,Lech,POL,1,1517.50170898,2025-08-22,2025-08-31
None,Swansea,ENG,2,1515.75341797,2025-08-17,2025-08-31
None,Besiktas,TUR,1,1514.29296875,2025-08-22,2025-08-24
None,Granada,ESP,2,1514.16503906,2025-08-17,2025-08-22
