Rank,Club,Country,Level,Elo,From,To
1,Liverpool,ENG,1,1993.41772461,2025-08-16,2025-08-25
2,Arsenal,ENG,1,1993.34033203,2025-08-18,2025-08-23
3,Paris SG,FRA,1,1970.16625977,2025-08-18,2025-08-22
4,Man City,ENG,1,1959.94421387,2025-08-17,2025-08-23
5,Barcelona,ESP,1,1945.43066406,2025-08-17,2025-08-23
6,Real Madrid,ESP,1,1936.12731934,2025-06-01,2025-08-19
7,Inter,ITA,1,1933.24267578,2025-06-01,2025-08-25
8,Bayern,GER,1,1918.99780273,2025-05-18,2025-08-22
9,Chelsea,ENG,1,1902.80102539,2025-08-18,2025-08-22
10,Aston Villa,ENG,1,1872.8392334,2025-08-17,2025-08-23
11,Newcastle,ENG,1,1868.55273438,2025-08-17,2025-08-25
12,Atletico,ESP,1,1855.34973145,2025-08-18,2025-08-23
13,Leverkusen,GER,1,1848.78613281,2025-05-18,2025-08-23
14,Atalanta,ITA,1,1842.22387695,2025-06-01,2025-08-24
15,Napoli,ITA,1,1838.37194824,2025-06-01,2025-08-23
16,Crystal Palace,ENG,1,1835.0402832,2025-08-18,2025-08-21
17,Brighton,ENG,1,1827.12902832,2025-08-17,2025-08-24
18,Roma,ITA,1,1819.66003418,2025-06-01,2025-08-23
19,Dortmund,GER,1,1818.35009766,2025-05-26,2025-08-23
20,Benfica,POR,1,1816.18579102,2025-08-17,2025-08-20
21,Brentford,ENG,1,1811.27429199,2025-08-18,2025-08-23
22,Bournemouth,ENG,1,1808.09521484,2025-08-16,2025-08-23
23,Juventus,ITA,1,1805.84680176,2025-08-13,2025-08-24
24,Sporting,POR,1,1803.23999023,2025-08-18,2025-08-23
25,Forest,ENG,1,1802.86804199,2025-08-18,2025-08-24
26,PSV,NED,1,1799.59411621,2025-08-18,2025-08-23
27,Man United,ENG,1,1799.46289062,2025-08-18,2025-08-24
28,Everton,ENG,1,1793.97973633,2025-08-07,2025-08-18
29,Bilbao,ESP,1,1789.30944824,2025-08-18,2025-08-25
30,Milan,ITA,1,1786.90820312,2025-06-01,2025-08-23
31,Villarreal,ESP,1,1785.54638672,2025-08-16,2025-08-24
32,Fulham,ENG,1,1781.72058105,2025-08-17,2025-08-24
33,Lille,FRA,1,1777.27734375,2025-08-18,2025-08-24
34,Tottenham,ENG,1,1774.00671387,2025-08-17,2025-08-23
35,Lazio,ITA,1,1770.40881348,2025-06-01,2025-08-24
36,Monaco,FRA,1,1757.35461426,2025-08-17,2025-08-24
37,Fiorentina,ITA,1,1756.97192383,2025-06-01,2025-08-24
38,Marseille,FRA,1,1751.7565918,2025-08-16,2025-08-23
39,Bologna,ITA,1,1750.82446289,2025-08-01,2025-08-23
40,West Ham,ENG,1,1750.13244629,2025-08-17,2025-08-22
41,Frankfurt,GER,1,1745.7578125,2025-08-13,2025-08-23
42,Brugge,BEL,1,1743.17053223,2025-08-17,2025-08-19
43,Betis,ESP,1,1742.14355469,2025-08-02,2025-08-18
44,Lyon,FRA,1,1739.85778809,2025-08-17,2025-08-23
45,Wolves,ENG,1,1735.76245117,2025-08-17,2025-08-23
46,St Gillis,BEL,1,1731.19714355,2025-08-17,2025-08-25
47,Burnley,ENG,1,1729.59765625,2025-08-17,2025-08-23
48,Leeds,ENG,1,1722.36010742,2025-08-13,2025-08-18
49,Galatasaray,TUR,1,1721.10742188,2025-08-16,2025-08-25
50,Feyenoord,NED,1,1720.74560547,2025-08-17,2025-08-25
51,Stuttgart,GER,1,1719.31469727,2025-08-13,2025-08-23
52,RB Leipzig,GER,1,1716.37451172,2025-08-13,2025-08-22
53,Fenerbahce,TUR,1,1707.73742676,2025-08-17,2025-08-20
54,Mainz,GER,1,1706.18273926,2025-08-08,2025-08-24
55,Nice,FRA,1,1702.453125,2025-08-17,2025-08-23
56,Strasbourg,FRA,1,1702.23632812,2025-08-18,2025-08-21
57,Osasuna,ESP,1,1697.22412109,2025-08-13,2025-08-19
58,Porto,POR,1,1697.07568359,2025-08-15,2025-08-18
59,Slavia Praha,CZE,1,1692.14526367,2025-08-17,2025-08-25
60,Celta,ESP,1,1689.27087402,2025-08-18,2025-08-23
61,Lens,FRA,1,1688.44934082,2025-08-17,2025-08-24
62,Freiburg,GER,1,1684.3404541,2025-08-13,2025-08-23
